Ticker;Nome
COGN3;Cogna
PETR4;Petrobras
HAPV3;Hapvida
ABEV3;Ambev
MGLU3;Magazine Luiza
LWSA3;Locaweb
ITSA4;Itaúsa
BBDC4;Banco Bradesco
ANIM3;Ânima Educação
PCAR3;Grupo Pão de Açúcar
VALE3;Vale
MRVE3;MRV
HBSA3;Hidrovias do Brasil
CSAN3;Cosan
ITUB4;Itaú Unibanco
BBAS3;Banco do Brasil
CVCB3;CVC
B3SA3;B3
BEEF3;Minerva
YDUQ3;YDUQS
CRFB3;Carrefour Brasil
LREN3;Lojas Renner
PETR3;Petrobras
VBBR3;Vibra Energia
AZUL4;Azul
CMIG4;Cemig
GOAU4;Metalúrgica Gerdau
ASAI3;Assaí
ELET3;Eletrobras
RAIL3;Rumo
NTCO3;Natura
CPLE6;Copel
PRIO3;PetroRio
POMO4;Marcopolo
USIM5;Usiminas
BRAV3;3R Petroleum
RADL3;RaiaDrogasil
GGBR4;Gerdau
RENT3;Localiza
RAIZ4;Raízen
BRFS3;BRF
CSNA3;Siderúrgica Nacional
CCRO3;Grupo CCR
BBDC3;Banco Bradesco
ECOR3;EcoRodovias
CMIN3;CSN Mineração
IFCM3;Infracommerce
EQTL3;Equatorial Energia
KLBN11;Klabin
AMOB3;Automob
BPAC11;Banco BTG Pactual
VAMO3;Grupo Vamos
UGPA3;Ultrapar
ENEV3;Eneva
SIMH3;Simpar
CBAV3;CBA
JHSF3;JHSF
MOVI3;Movida
BHIA3;Casas Bahia
BRAP4;Bradespar
GFSA3;Gafisa
MULT3;Multiplan
PETZ3;Petz
MRFG3;Marfrig
EMBR3;Embraer
DXCO3;Dexco
RCSL4;Recrusul
JBSS3;JBS
STBP3;Santos Brasil
GMAT3;Grupo Mateus
SRNA3;Serena Energia
ALOS3;Allos
AURE3;Auren Energia
VIVT3;Vivo
CYRE3;Cyrela
SUZB3;Suzano
ENGI11;Energisa
CPLE3;Copel
CXSE3;Caixa Seguridade
SANB11;Banco Santander
WEGE3;WEG
QUAL3;Qualicorp
TOTS3;Totvs
RAPT4;Randon
GOLL4;GOL
SMFT3;Smart Fit
OIBR3;Oi
FLRY3;Fleury
TIMS3;TIM
CEAB3;C&A
RDOR3;Rede D'Or
IGTI11;Jereissati Participações
IGTI11;Iguatemi
ENJU3;Enjoei
RECV3;PetroRecôncavo
BRKM5;Braskem
HYPE3;Hypera
BRSR6;Banrisul
ODPV3;Odontoprev
VIVA3;Vivara
SBSP3;Sabesp
GRND3;Grendene
SMTO3;São Martinho
LJQQ3;Lojas Quero-Quero
BBSE3;BB Seguridade
CASH3;Méliuz
AZZA3;Arezzo
TEND3;Construtora Tenda
EZTC3;EZTEC
SLCE3;SLC Agrícola
TUPY3;Tupy
VVEO3;Viveo
CPFE3;CPFL Energia
POSI3;Positivo
CAML3;Camil Alimentos
SEER3;Ser Educacional
AMER3;Americanas
HBOR3;Helbor
AZEV4;Azevedo & Travassos
ELET6;Eletrobras
DIRR3;Direcional
KLBN4;Klabin
PSSA3;Porto Seguro
KEPL3;Kepler Weber
MLAS3;Multilaser
CSMG3;COPASA
ARML3;Armac
INTB3;Intelbras
ALPA4;Alpargatas
GGPS3;GPS
GUAR3;Guararapes
EVEN3;Even
CURY3;Cury
AZEV3;Azevedo & Travassos
ONCO3;Oncoclínicas
EGIE3;Engie
ISAE4;ISA Energia
SBFG3;Grupo SBF
TAEE11;Taesa
TTEN3;3tentos
MYPK3;Iochpe-Maxion
BPAN4;Banco Pan
NEOE3;Neoenergia
SAPR4;Sanepar
MEAL3;IMC Alimentação
CSED3;Cruzeiro do Sul Educacional
MBLY3;Mobly
SOJA3;Boa Safra Sementes
ALUP11;Alupar
FESA4;Ferbasa
SAPR11;Sanepar
PDGR3;PDG Realty
RCSL3;Recrusul
PORT3;Wilson Sons
VULC3;Vulcabras
LAVV3;Lavvi Incorporadora
PMAM3;Paranapanema
MDIA3;M. Dias Branco
PLPL3;Plano&Plano
BLAU3;Blau Farmacêutica
JSLG3;JSL
ZAMP3;Zamp
IRBR3;IRB Brasil RE
MELK3;Melnick
PRNR3;Priner
SHUL4;Schulz
PGMN3;Pague Menos
MATD3;Mater Dei
FIQE3;Unifique
ABCB4;Banco ABC Brasil
AGRO3;BrasilAgro
TRIS3;Trisul
PFRM3;Profarma
SYNE3;SYN
OPCT3;OceanPact
LIGT3;Light
MTRE3;Mitre Realty
LEVE3;Mahle Metal Leve
VTRU3;VITRUBREPCOM
JALL3;Jalles Machado
ITUB3;Itaú Unibanco
ESPA3;Espaçolaser
KLBN3;Klabin
VLID3;Valid
ORVR3;Orizon
AGXY3;AgroGalaxy
BMOB3;Bemobi
PTBL3;Portobello
MDNE3;Moura Dubeux
BMGB4;Banco BMG
RANI3;Irani
POMO3;Marcopolo
TASA4;Taurus
BRBI11;BR Partners
TECN3;Technos
TFCO4;Track & Field
SEQL3;Sequoia Logística
DASA3;Dasa
AMAR3;Lojas Marisa
WIZC3;Wiz Soluções
AERI3;Aeris Energy
PINE4;Banco Pine
MILS3;Mills
BRST3;Brisanet
DESK3;Desktop
HBRE3;HBR Realty
PNVL3;Dimed
AALR3;Alliança
LOGG3;LOG CP
DMVF3;D1000 Varejo Farma
USIM3;Usiminas
CMIG3;Cemig
SAPR3;Sanepar
VITT3;Vittia
ITSA3;Itaúsa
AMBP3;Ambipar
TGMA3;Tegma
FRAS3;Fras-le
TAEE4;Taesa
ELMD3;Eletromidia
SANB3;Banco Santander
UNIP6;Unipar
DEXP3;Dexxos
ROMI3;Indústrias ROMI
BRAP3;Bradespar
CSUD3;CSU Cardsystem
EUCA4;Eucatex
SANB4;Banco Santander
LPSB3;Lopes
INEP4;Inepar
INEP3;Inepar
TAEE3;Taesa
IGTI3;Jereissati Participações
IGTI3;Iguatemi
RSID3;Rossi Residencial
VIVR3;Viver
ALPK3;Estapar
UCAS3;Unicasa
LUPA3;Lupatech
OIBR4;Oi
RNEW4;Renova Energia
LAND3;Terra Santa
FICT3;Fictor Alimentos
SCAR3;São Carlos
ETER3;Eternit
RNEW3;Renova Energia
PDTC3;Padtec
TRAD3;Traders Club
ALLD3;Allied
TCSA3;Tecnisa
TASA3;Taurus
LOGN3;Log-In
BIOM3;Biomm
SHOW3;Time For Fun
PTNT4;Pettenati
JFEN3;João Fortes
ALUP4;Alupar
DOTZ3;Dotz
PINE3;Banco Pine
BOBR4;Bombril
GOAU3;Metalúrgica Gerdau
GGBR3;Gerdau
DASA11;DASA11
REAG3;REAG3
ALUP3;Alupar
BEES3;Banestes
FHER3;Fertilizantes Heringer
LVTC3;WDC Networks
HOOT4;Hotéis Othon
ATED3;ATOM EDUCAÇÃO E EDITORA S.A.
BSLI4;Banco de Brasília
BSLI3;Banco de Brasília
BRKM3;Braskem
RAPT3;Randon
CTSA4;Santanense
BMEB4;Banco Mercantil do Brasil
EALT4;Electro Aço Altona
CEBR3;CEB
CAMB3;Cambuci
BPAC5;Banco BTG Pactual
ENGI4;Energisa
EQPA3;Equatorial Energia Pará
BIED3;BIED3
TPIS3;Triunfo
EPAR3;Embpar Participações
BPAC3;Banco BTG Pactual
ATMP3;Atma
RPMG3;Refinaria de Manguinhos
VSTE3;LE LIS BLANC
COCE5;Coelce
CEBR6;CEB
ENGI3;Energisa
MNPR3;Minupar
UNIP3;Unipar
NGRD3;Neogrid
DEXP4;Dexxos
NUTR3;Nutriplant
BAZA3;Banco da Amazônia
CEBR5;CEB
ALPA3;Alpargatas
RNEW11;Renova Energia
BRSR3;Banrisul
RDNI3;RNI
BEES4;Banestes
MGEL4;Mangels
SNSY5;Sansuy
CLSC4;Celesc
EUCA3;Eucatex
AVLL3;Alphaville
WHRL4;Whirlpool
CGRA4;Grazziotin
TELB4;Telebras
ISAE3;ISA Energia
HAGA4;Haga
CGAS5;Comgás
OSXB3;OSX Brasil
MNDL3;Mundial
CGRA3;Grazziotin
AMAR11;Lojas Marisa
CRPG5;Tronox Pigmentos
PPLA11;PPLA
MTSA4;Metisa
WHRL3;Whirlpool
WLMM4;WLM
PATI3;Panatlântica
BGIP4;Banese
OFSA3;Ourofino Saúde Animal
EMAE4;EMAE
PTNT3;Pettenati
GEPA4;Rio Paranapanema Energia
AZEV11;Azevedo & Travassos
NEXP3;Brasil Brokers
RSUL4;Metalúrgica Riosulense
CTKA4;Karsten
TELB3;Telebras
FESA3;Ferbasa
REDE3;Rede Energia
CEEB3;COELBA
GEPA3;Rio Paranapanema Energia
NORD3;Nordon
WEST3;Westwing
BNBR3;Banco do Nordeste
ENMT4;Energisa MT
ENMT3;Energisa MT
EKTR4;Elektro
MRSA5B;MRS Logística
EQMA3B;Equatorial Maranhão
BALM4;Baumer
CPLE5;Copel
MAPT4;Cemepe
DOHL4;Döhler
HAGA3;Haga
AHEB3;São Paulo Turismo
HBTS5;Habitasul
BMEB3;Banco Mercantil do Brasil
COCE3;Coelce
CEDO4;Cedro Têxtil
CRPG6;Tronox Pigmentos
BMIN4;Banco Mercantil de Investimentos
BRSR5;Banrisul
BDLL4;Bardella
USIM6;Usiminas
MAPT3;Cemepe
CTSA3;Santanense
BMKS3;Monark
EALT3;Electro Aço Altona
PATI4;Panatlântica
MWET4;Wetzel
PLAS3;Plascar
TKNO4;Tekno
UNIP5;Unipar
CEDO3;Cedro Têxtil
GPAR3;CELGPAR
JOPA3;Josapar
CGAS3;Comgás
AHEB6;São Paulo Turismo
PEAB3;Participações Aliança da Bahia
LUXM4;Trevisa
BDLL3;Bardella
DTCY3;Dtcom
KRSA3;Kora Saúde
AFLT3;Afluente T
SNSY3;Sansuy
BAUH4;Excelsior
MERC4;Mercantil do Brasil Financeira
RPAD6;Alfa Holdings
FIEI3;Fica
RPAD3;Alfa Holdings
MRSA6B;MRS Logística
CEGR3;Naturgy (CEG)
MRSA3B;MRS Logística
MOAR3;Monteiro Aranha
IGTI4;Jereissati Participações
IGTI4;Iguatemi
ESTR4;Estrela
BRKM6;Braskem
RPAD5;Alfa Holdings
CEED3;CEEE D
PSVM11;PORTO VM
SOND5;Sondotécnica
LIPR3;Eletropar
BGIP3;Banese
BMIN3;Banco Mercantil de Investimentos
EQPA5;Equatorial Energia Pará
EQPA7;Equatorial Energia Pará
CLSC3;Celesc
DOHL3;Döhler
HETA4;Hercules
